"TALHAO";"PARCELA";"COD_ARVORE";"CAP";"HT";"CATEGORIA";"HD"
3654;101;301;51,1;28,4;"Normal";30,45
3654;101;303;50,8;0;"Normal";30,45
3654;101;304;53,2;0;"Normal";30,45
3654;101;503;50;0;"Normal";30,45
3654;101;302;51,3;29;"Normal";30,45
3654;101;401;54;0;"Normal";30,45
3654;101;402;56,4;0;"Normal";30,45
3654;101;403;55,8;0;"Normal";30,45
3654;101;204;53,2;28,8;"Normal";30,45
3654;101;405;59;30,2;"Dominante";30,45
3654;101;501;48,3;0;"Normal";30,45
3654;101;502;40,5;0;"Normal";30,45
3654;101;305;45,5;0;"Normal";30,45
3654;101;404;0;0;"Falha";30,45
3654;101;101;51;29,2;"Normal";30,45
3654;101;201;59,3;30,7;"Dominante";30,45
3654;101;203;54;28,7;"Normal";30,45
3654;101;202;56,6;30,6;"Normal";30,45
3654;102;102;0;0;"Falha";31,35
3654;102;103;0;0;"Falha";31,35
3654;102;201;54;29,7;"Normal";31,35
3654;102;101;58,9;32,5;"Normal";31,35
3654;102;401;24,2;0;"Bifurcadaabaixo1.30";31,35
3654;102;401;49;0;"Outros Fustes";31,35
3654;102;402;29,7;0;"Bifurcadaabaixo1.30";31,35
3654;102;402;50,2;0;"Outros Fustes";31,35
3654;102;403;50,9;0;"Normal";31,35
3654;102;202;53,6;28,9;"Normal";31,35
3654;102;203;0;0;"Falha";31,35
3654;102;304;0;0;"Falha";31,35
3654;102;305;54,1;29,2;"Normal";31,35
3654;102;502;50,5;0;"Normal";31,35
3654;102;404;53,5;0;"Normal";31,35
3654;102;405;53,6;0;"Normal";31,35
3654;102;501;54,4;0;"Normal";31,35
3654;102;503;50,4;0;"Normal";31,35
3654;102;302;55,5;29,7;"Normal";31,35
3654;102;303;59,1;30,6;"Dominante";31,35
3654;102;204;57,7;29,8;"Normal";31,35
3654;102;301;60,8;32,1;"Dominante";31,35
3654;103;204;0;0;"Falha";30,3
3654;103;304;59;29,8;"Dominante";30,3
3654;103;303;65,5;30,8;"Dominante";30,3
3654;103;501;53,5;0;"Normal";30,3
3654;103;301;0;0;"Falha";30,3
3654;103;302;0;0;"Falha";30,3
3654;103;306;51,3;26,6;"Normal";30,3
3654;103;401;24,5;0;"Dominada";30,3
3654;103;502;55,4;0;"Normal";30,3
3654;103;503;54,6;0;"Normal";30,3
3654;103;404;58,4;0;"Normal";30,3
3654;103;405;53,5;0;"Normal";30,3
3654;103;201;52,4;29,5;"Normal";30,3
3654;103;305;52,8;28,6;"Normal";30,3
3654;103;203;0;0;"Falha";30,3
3654;103;101;0;0;"Falha";30,3
3654;103;102;58,9;31,6;"Normal";30,3
3654;103;202;54,2;30;"Normal";30,3
3654;103;403;56,1;27,8;"Normal";30,3
3654;103;402;0;0;"Falha";30,3
3654;104;102;54,7;27,8;"Normal";29,2
3654;104;103;49,3;26,8;"Normal";29,2
3654;104;101;53,1;27,7;"Normal";29,2
3654;104;304;57,4;29,1;"Dominante";29,2
3654;104;401;0;0;"Falha";29,2
3654;104;402;58,1;29,3;"Dominante";29,2
3654;104;403;56,8;0;"Normal";29,2
3654;104;201;53,9;29;"Normal";29,2
3654;104;202;52,1;30,2;"Normal";29,2
3654;104;301;50,6;28,2;"Normal";29,2
3654;104;302;49,8;0;"Normal";29,2
3654;104;303;55,3;0;"Normal";29,2
3654;104;404;54;0;"Normal";29,2
3654;104;405;53,3;0;"Normal";29,2
3654;104;501;50,2;0;"Normal";29,2
3654;104;502;49,2;0;"Normal";29,2
3654;104;203;51;28,6;"Normal";29,2
3654;104;204;49,3;27,8;"Normal";29,2
3654;105;204;56,2;29;"Normal";29,95
3654;105;302;55,8;0;"Normal";29,95
3654;105;401;0;0;"Falha";29,95
3654;105;205;50,2;28,3;"Normal";29,95
3654;105;301;50,9;27,7;"Normal";29,95
3654;105;404;58,8;29,8;"Dominante";29,95
3654;105;405;56,1;0;"Normal";29,95
3654;105;501;0;0;"Falha";29,95
3654;105;502;0;0;"Falha";29,95
3654;105;305;54,7;0;"Normal";29,95
3654;105;306;54,6;0;"Normal";29,95
3654;105;303;52,1;0;"Normal";29,95
3654;105;304;53,5;0;"Normal";29,95
3654;105;403;61,2;30,1;"Dominante";29,95
3654;105;201;55,1;28,7;"Normal";29,95
3654;105;101;37,7;0;"Dominada";29,95
3654;105;402;0;0;"Falha";29,95
3654;105;102;57;29,6;"Normal";29,95
3654;105;103;53,3;27,7;"Normal";29,95
3654;105;202;49,8;28,6;"Normal";29,95
3654;105;203;56,1;29,7;"Normal";29,95
3654;106;101;42;0;"Dominada";29,1
3654;106;102;0;0;"Falha";29,1
3654;106;401;0;0;"Falha";29,1
3654;106;402;0;0;"Falha";29,1
3654;106;305;0;0;"Falha";29,1
3654;106;306;0;0;"Falha";29,1
3654;106;202;57,3;28,2;"Normal";29,1
3654;106;203;58,8;29,4;"Normal";29,1
3654;106;103;64,3;30;"Dominante";29,1
3654;106;201;0;0;"Falha";29,1
3654;106;302;50,8;28,5;"Normal";29,1
3654;106;303;51,9;27,7;"Normal";29,1
3654;106;304;60;28,2;"Dominante";29,1
3654;106;403;57;0;"Normal";29,1
3654;106;404;54,9;0;"Normal";29,1
3654;106;405;52;0;"Normal";29,1
3654;106;501;55,5;0;"Normal";29,1
3654;106;502;43,1;0;"Dominada";29,1
3654;106;503;0;0;"Falha";29,1
3654;106;205;55,7;28,8;"Normal";29,1
3654;106;301;50,5;29,7;"Normal";29,1
3654;106;204;50,8;28,4;"Normal";29,1
3654;107;202;49,6;26;"Normal";29,3
3654;107;203;55,2;31;"Normal";29,3
3654;107;205;58,5;30,2;"Dominante";29,3
3654;107;404;52,2;0;"Normal";29,3
3654;107;405;50,6;0;"Normal";29,3
3654;107;204;54,4;28,8;"Normal";29,3
3654;107;502;57,4;0;"Normal";29,3
3654;107;503;49,7;0;"Normal";29,3
3654;107;301;49,5;0;"Normal";29,3
3654;107;501;57,7;0;"Normal";29,3
3654;107;303;48,8;0;"Normal";29,3
3654;107;304;54,4;0;"Normal";29,3
3654;107;305;49,4;0;"Normal";29,3
3654;107;302;48,1;0;"Normal";29,3
3654;107;402;45,6;0;"Normal";29,3
3654;107;403;57,2;0;"Normal";29,3
3654;107;103;50,4;27,1;"Normal";29,3
3654;107;201;57,9;28,4;"Dominante";29,3
3654;107;401;52,7;0;"Normal";29,3
3654;107;101;56;28,4;"Normal";29,3
3654;107;102;50,6;26,5;"Normal";29,3
3654;109;201;0;0;"Falha";28,8
3654;109;101;55,4;26,3;"Normal";28,8
3654;109;102;54,2;27,7;"Normal";28,8
3654;109;103;46,1;23,8;"Normal";28,8
3654;109;205;55,1;28,7;"Normal";28,8
3654;109;202;60,7;28,6;"Dominante";28,8
3654;109;203;56,5;28;"Normal";28,8
3654;109;204;47,3;25,4;"Normal";28,8
3654;109;304;60,7;29;"Dominante";28,8
3654;109;305;57,8;0;"Normal";28,8
3654;109;306;51;0;"Normal";28,8
3654;109;401;54,3;0;"Normal";28,8
3654;109;402;44;0;"Dominada";28,8
3654;109;403;0;0;"Falha";28,8
3654;109;404;54,7;0;"Normal";28,8
3654;109;405;45,1;0;"Normal";28,8
3654;109;501;59,3;0;"Normal";28,8
3654;109;502;0;0;"Falha";28,8
3654;109;301;53,9;28,5;"Normal";28,8
3654;109;302;59,8;0;"Normal";28,8
3654;109;303;58,6;0;"Normal";28,8
3654;109;503;53,4;0;"Normal";28,8
3654;110;103;56,7;31,2;"Normal";30,8
3654;110;201;53,8;29,9;"Normal";30,8
3654;110;202;54,5;31;"Normal";30,8
3654;110;102;54,1;29,6;"Normal";30,8
3654;110;204;50,7;29;"Normal";30,8
3654;110;205;57,2;30,7;"Normal";30,8
3654;110;301;50,6;0;"Normal";30,8
3654;110;203;44,3;27,6;"Normal";30,8
3654;110;303;51,2;0;"Normal";30,8
3654;110;304;51,3;0;"Normal";30,8
3654;110;305;49,5;0;"Normal";30,8
3654;110;302;55,7;0;"Normal";30,8
3654;110;401;56,2;0;"Normal";30,8
3654;110;402;58,4;31;"Dominante";30,8
3654;110;403;45;0;"Dominada";30,8
3654;110;404;0;0;"Falha";30,8
3654;110;405;56;0;"Normal";30,8
3654;110;501;57,4;30,6;"Dominante";30,8
3654;110;502;55,3;0;"Normal";30,8
3654;110;503;53,8;0;"Normal";30,8
3654;110;306;52,1;0;"Normal";30,8
3654;110;101;0;0;"Falha";30,8
3654;111;103;52,8;27,7;"Normal";29,4
3654;111;201;54,5;28,2;"Normal";29,4
3654;111;101;41,2;0;"Dominada";29,4
3654;111;102;50,9;0;"Normal";29,4
3654;111;204;50,4;26;"Normal";29,4
3654;111;205;45;24,4;"Normal";29,4
